Title,Release_Year,Team,Rating,Plays,Backlogs,Wishlist,Genres,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Minecraft,2011,['Mojang Studios'],4.3,33000.0,1100.0,230000.0,"adventure, simulator",x360,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
Minecraft,2011,['Mojang Studios'],4.3,33000.0,1100.0,230000.0,"adventure, simulator",ps3,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
Minecraft,2011,['Mojang Studios'],4.3,33000.0,1100.0,230000.0,"adventure, simulator",ps4,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
Minecraft,2011,['Mojang Studios'],4.3,33000.0,1100.0,230000.0,"adventure, simulator",xone,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41
Minecraft,2011,['Mojang Studios'],4.3,33000.0,1100.0,230000.0,"adventure, simulator",psv,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
Minecraft,2011,['Mojang Studios'],4.3,33000.0,1100.0,230000.0,"adventure, simulator",wiiu,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
God of War,2018,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']",4.2,21000.0,4800.0,2600.0,"adventure, brawler, rpg",ps2,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
Portal 2,2011,"['Valve', 'Electronic Arts']",4.4,29000.0,3900.0,1200.0,"adventure, platform, puzzle, shooter",x360,Valve Software,1.41,0.51,0.01,0.17,2.1
Portal 2,2011,"['Valve', 'Electronic Arts']",4.4,29000.0,3900.0,1200.0,"adventure, platform, puzzle, shooter",ps3,Valve,0.83,0.63,0.02,0.25,1.74
Portal 2,2011,"['Valve', 'Electronic Arts']",4.4,29000.0,3900.0,1200.0,"adventure, platform, puzzle, shooter",pc,Valve Software,0.33,0.32,0.0,0.11,0.76
Bloodborne,2015,"['FromSoftware', 'Sony Computer Entertainment']",4.5,17000.0,5600.0,3300.0,"adventure, rpg",ps4,Sony Computer Entertainment,1.0,0.76,0.26,0.36,2.38
Metal Gear Rising: Revengeance,2013,"['Konami', 'PlatinumGames']",4.1,14000.0,4200.0,2000.0,"adventure, brawler, shooter, strategy",ps3,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
Metal Gear Rising: Revengeance,2013,"['Konami', 'PlatinumGames']",4.1,14000.0,4200.0,2000.0,"adventure, brawler, shooter, strategy",x360,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5
Grand Theft Auto V,2013,"['Rockstar North', 'Rockstar Games']",3.8,30000.0,3200.0,664000.0,"adventure, shooter",ps3,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
Grand Theft Auto V,2013,"['Rockstar North', 'Rockstar Games']",3.8,30000.0,3200.0,664000.0,"adventure, shooter",x360,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
Grand Theft Auto V,2013,"['Rockstar North', 'Rockstar Games']",3.8,30000.0,3200.0,664000.0,"adventure, shooter",ps4,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
Grand Theft Auto V,2013,"['Rockstar North', 'Rockstar Games']",3.8,30000.0,3200.0,664000.0,"adventure, shooter",xone,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
Grand Theft Auto V,2013,"['Rockstar North', 'Rockstar Games']",3.8,30000.0,3200.0,664000.0,"adventure, shooter",pc,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
Dark Souls III,2016,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,19000.0,4300.0,2200.0,"adventure, rpg",ps4,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
Dark Souls III,2016,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,19000.0,4300.0,2200.0,"adventure, rpg",xone,Namco Bandai Games,0.23,0.09,0.0,0.03,0.35
Dark Souls III,2016,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,19000.0,4300.0,2200.0,"adventure, rpg",pc,Namco Bandai Games,0.0,0.05,0.0,0.0,0.05
Super Mario 64,1996,"['Nintendo', 'Nintendo EAD']",4.1,21000.0,2500.0,775000.0,"adventure, platform",n64,Nintendo,6.91,2.85,1.91,0.23,11.89
Super Mario 64,1996,"['Nintendo', 'Nintendo EAD']",4.1,21000.0,2500.0,775000.0,"adventure, platform",ds,Nintendo,5.08,3.11,1.25,0.98,10.42
Final Fantasy VII,1997,"['Square', 'Eidos Interactive']",4.2,15000.0,5000.0,1500.0,"adventure, rpg, turn based strategy",ps,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
Super Mario Galaxy,2007,"['Nintendo EAD', 'Nintendo']",4.3,21000.0,3100.0,1200.0,"adventure, platform",wii,Nintendo,6.16,3.4,1.2,0.76,11.52
Fallout: New Vegas,2010,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",4.3,16000.0,5000.0,1400.0,"rpg, shooter",x360,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
Fallout: New Vegas,2010,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",4.3,16000.0,5000.0,1400.0,"rpg, shooter",ps3,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
Fallout: New Vegas,2010,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",4.3,16000.0,5000.0,1400.0,"rpg, shooter",pc,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16
Resident Evil 2,2019,"['Capcom', 'Capcom Development Division 1']",4.3,15000.0,3600.0,1900.0,"adventure, shooter",ps,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
Resident Evil 2,2019,"['Capcom', 'Capcom Development Division 1']",4.3,15000.0,3600.0,1900.0,"adventure, shooter",n64,Virgin Interactive,0.39,0.09,0.07,0.01,0.56
Resident Evil 2,2019,"['Capcom', 'Capcom Development Division 1']",4.3,15000.0,3600.0,1900.0,"adventure, shooter",gc,Capcom,0.04,0.01,0.0,0.0,0.06
Doom,2016,"['id Software', 'Bethesda Softworks']",4.0,18000.0,4000.0,1400.0,shooter,ps,Infogrames,0.43,0.3,0.0,0.05,0.78
Doom,2016,"['id Software', 'Bethesda Softworks']",4.0,18000.0,4000.0,1400.0,shooter,gba,Activision,0.1,0.04,0.0,0.0,0.14
